LC_LR1_beta_env	LC_LR1_R2_env	LC_LR1_Q	LC_LR1_pQ	LC_LR1_BF
0.084 [0.066, 0.101]	0.304 [0.195, 0.397]	-0.382 [-0.474, -0.307]	0.00	-
0.083 [0.066, 0.101]	0.289 [0.215, 0.391]	-0.393 [-0.482, -0.296]	0.00	-
0.076 [0.058, 0.087]	0.282 [0.201, 0.347]	-0.359 [-0.452, -0.253]	0.00	-
0.076 [0.061, 0.093]	0.273 [0.194, 0.355]	-0.394 [-0.468, -0.306]	0.00	-
0.083 [0.062, 0.105]	0.349 [0.217, 0.517]	-0.342 [-0.454, -0.203]	0.01	-
0.085 [0.066, 0.099]	0.356 [0.230, 0.579]	-0.355 [-0.483, -0.236]	0.00	-
0.079 [0.064, 0.094]	0.280 [0.203, 0.349]	-0.392 [-0.473, -0.291]	0.00	-
0.074 [0.059, 0.096]	0.270 [0.139, 0.375]	-0.383 [-0.537, -0.228]	0.01	-
0.077 [0.026, 0.098]	0.368 [0.141, 0.545]	-0.184 [-0.421, -0.019]	0.02	-
0.081 [0.066, 0.101]	0.307 [0.196, 0.415]	-0.371 [-0.471, -0.271]	0.00	-
