node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel
115,116,0.166666666700003,-77.8745829500901,38.8907323974246,-77.9012124249301,38.8423490035483,0.166666666700003,0,1971.9999996633,1972.16666633,NA
116,117,3,-77.9012124249301,38.8423490035483,-78.1668204123086,39.0699393915299,3.1666666667,0.166666666700003,1972.16666633,1975.16666633,NA
117,118,1.75,-78.1668204123086,39.0699393915299,-78.1439737578695,38.734239935509,4.9166666667,3.1666666667,1975.16666633,1976.91666633,NA
115,128,5.083333333,-77.8745829500901,38.8907323974246,-78.1020463837777,39.26220871613,5.083333333,0,1971.9999996633,1977.0833329963,NA
128,155,0.666666666700003,-78.1020463837777,39.26220871613,-77.9162249866404,39.2927355164857,5.7499999997,5.083333333,1977.0833329963,1977.749999663,NA
155,178,0.166666666699999,-77.9162249866404,39.2927355164857,-77.8591248645514,39.322410042627,5.9166666664,5.7499999997,1977.749999663,1977.9166663297,NA
178,185,1.416666667,-77.8591248645514,39.322410042627,-75.4452167695043,40.0246861665211,7.3333333334,5.9166666664,1977.9166663297,1979.3333329967,NA
118,119,2.583333333,-78.1439737578695,38.734239935509,-76.2754354862757,41.011331429565,7.4999999997,4.9166666667,1976.91666633,1979.499999663,NA
119,121,0.583333333299997,-76.2754354862757,41.011331429565,-76.4447421878366,41.0626863132894,8.083333333,7.4999999997,1979.499999663,1980.0833329963,NA
121,122,0.25,-76.4447421878366,41.0626863132894,-76.3439259689636,41.1202290762772,8.333333333,8.083333333,1980.0833329963,1980.3333329963,NA
118,124,3.416666667,-78.1439737578695,38.734239935509,-77.501564172789,38.7179862545737,8.3333333337,4.9166666667,1976.91666633,1980.333332997,NA
185,186,1.166666667,-75.4452167695043,40.0246861665211,-75.3576497610351,40.0775849019125,8.5000000004,7.3333333334,1979.3333329967,1980.4999996637,NA
155,156,2.916666667,-77.9162249866404,39.2927355164857,-77.6915113838821,39.323104396492,8.6666666667,5.7499999997,1977.749999663,1980.66666633,NA
124,125,1.416666667,-77.501564172789,38.7179862545737,-77.3424101176295,38.5022007163065,9.7500000007,8.3333333337,1980.333332997,1981.749999664,NA
186,187,1.333333333,-75.3576497610351,40.0775849019125,-75.4475226133475,40.1570801054914,9.8333333334,8.5000000004,1980.4999996637,1981.8333329967,NA
128,129,5.25,-78.1020463837777,39.26220871613,-77.8856297609072,39.1551127284377,10.333333333,5.083333333,1977.0833329963,1982.3333329963,NA
125,126,0.583333333300001,-77.3424101176295,38.5022007163065,-78.9478990291837,38.3580526313158,10.333333334,9.7500000007,1981.749999664,1982.3333329973,NA
156,157,1.75,-77.6915113838821,39.323104396492,-77.7804294114523,39.4058301344856,10.4166666667,8.6666666667,1980.66666633,1982.41666633,NA
124,9,2.08333400299993,-77.501564172789,38.7179862545737,-77.786279,38.505056,10.4166673366999,8.3333333337,1980.333332997,1982.416667,23
121,123,2.416666667,-76.4447421878366,41.0626863132894,-76.6649642882541,41.4379050884693,10.5,8.083333333,1980.0833329963,1982.4999996633,NA
123,7,3.3669996213348e-07,-76.6649642882541,41.4379050884693,-76.6651971944958,41.4380041849966,10.5000003367,10.5,1982.4999996633,1982.5,40
116,1,10.41666667,-77.9012124249301,38.8423490035483,-78.160243,39.653642,10.5833333367,0.166666666700003,1972.16666633,1982.583333,4
117,2,7.50000066999992,-78.1668204123086,39.0699393915299,-78.57765,38.8679,10.6666673366999,3.1666666667,1975.16666633,1982.666667,7
122,5,2.41666700369996,-76.3439259689636,41.1202290762772,-75.825259,41.16273,10.7500003367,8.333333333,1980.3333329963,1982.75,24
187,192,1,-75.4475226133475,40.1570801054914,-75.4335100282569,40.0783446570493,10.8333333334,9.8333333334,1981.8333329967,1982.8333329967,NA
187,188,1.083333333,-75.4475226133475,40.1570801054914,-77.4849533466661,38.1573408740648,10.9166666664,9.8333333334,1981.8333329967,1982.9166663297,NA
192,193,0.166666666700003,-75.4335100282569,40.0783446570493,-75.4774040068157,40.1299818046727,11.0000000001,10.8333333334,1982.8333329967,1982.9999996634,NA
186,72,2.50000033629996,-75.3576497610351,40.0775849019125,-75.031467,39.953489,11.0000003367,8.5000000004,1980.4999996637,1983,26
188,189,0.166666666699999,-77.4849533466661,38.1573408740648,-77.0436506935512,37.1627233630914,11.0833333331,10.9166666664,1982.9166663297,1983.0833329964,NA
178,179,5.5,-77.8591248645514,39.322410042627,-77.8524128247139,39.1816783763028,11.4166666664,5.9166666664,1977.9166663297,1983.4166663297,NA
157,160,1,-77.7804294114523,39.4058301344856,-77.0110465739659,39.2351972296609,11.4166666667,10.4166666667,1982.41666633,1983.41666633,NA
193,195,0.416666666699996,-75.4774040068157,40.1299818046727,-75.6165342091379,40.1946257245262,11.4166666668,11.0000000001,1982.9999996634,1983.4166663301,NA
