LC_beta_env	LC_R2_env	LC_Q	LC_pQ	LC_BF
11.824 [11.058, 12.680]	0.422 [0.366, 0.453]	0.166 [0.126, 0.201]	1.00	>99
12.140 [11.449, 12.890]	0.445 [0.413, 0.474]	0.195 [0.159, 0.219]	1.00	>99
11.976 [11.131, 13.400]	0.430 [0.361, 0.469]	0.176 [0.123, 0.209]	1.00	>99
12.008 [11.256, 12.739]	0.439 [0.398, 0.470]	0.173 [0.133, 0.214]	1.00	>99
11.541 [10.881, 12.101]	0.439 [0.404, 0.460]	0.181 [0.142, 0.208]	1.00	>99
12.238 [10.955, 13.644]	0.419 [0.337, 0.476]	0.171 [0.117, 0.213]	1.00	>99
11.615 [10.818, 12.661]	0.437 [0.405, 0.467]	0.185 [0.146, 0.217]	1.00	>99
12.384 [11.539, 14.069]	0.456 [0.433, 0.470]	0.208 [0.189, 0.224]	1.00	>99
11.913 [10.545, 12.947]	0.442 [0.414, 0.466]	0.202 [0.165, 0.227]	1.00	>99
11.732 [11.031, 12.336]	0.436 [0.393, 0.459]	0.182 [0.143, 0.207]	1.00	>99
