CS_R2_null;CS_R2_env;CS_Q;CS_pQ;CS_BF
0.025 [0.011, 0.039];0.209 [0.136, 0.286];0.184 [0.108, 0.259];1;Inf
0.031 [0.015, 0.047];0.253 [0.177, 0.333];0.223 [0.139, 0.304];1;Inf
0.032 [0.013, 0.055];0.26 [0.154, 0.361];0.228 [0.123, 0.333];1;Inf
0.036 [0.016, 0.06];0.278 [0.192, 0.364];0.243 [0.149, 0.329];1;Inf
0.046 [0.022, 0.067];0.3 [0.21, 0.373];0.254 [0.168, 0.331];1;Inf
0.026 [0.006, 0.042];0.26 [0.136, 0.359];0.235 [0.109, 0.335];1;Inf
0.034 [0.012, 0.057];0.265 [0.175, 0.36];0.231 [0.134, 0.323];1;Inf
0.032 [0.01, 0.053];0.238 [0.144, 0.336];0.206 [0.116, 0.317];1;Inf
0.024 [0.008, 0.04];0.219 [0.138, 0.312];0.195 [0.11, 0.286];1;899
0.033 [0.014, 0.051];0.256 [0.181, 0.336];0.223 [0.142, 0.307];1;Inf
