CGT_R2_null	CGT_R2_env	CGT_Q	CGT_pQ	CGT_BF
0.184 [0.113, 0.259]	0.226 [0.148, 0.316]	0.042 [-0.072, 0.192]	0.74	2.8
0.190 [0.111, 0.275]	0.238 [0.145, 0.316]	0.048 [-0.119, 0.147]	0.74	2.8
0.196 [0.122, 0.299]	0.239 [0.145, 0.344]	0.043 [-0.074, 0.175]	0.74	2.8
0.199 [0.118, 0.293]	0.242 [0.142, 0.345]	0.043 [-0.073, 0.182]	0.75	3.0
0.231 [0.148, 0.319]	0.268 [0.180, 0.394]	0.037 [-0.107, 0.202]	0.73	2.7
0.181 [0.099, 0.264]	0.234 [0.122, 0.342]	0.053 [-0.069, 0.252]	0.76	3.2
0.197 [0.114, 0.272]	0.243 [0.176, 0.326]	0.046 [-0.044, 0.174]	0.73	2.7
0.204 [0.114, 0.296]	0.244 [0.160, 0.347]	0.039 [-0.114, 0.173]	0.78	3.5
0.169 [0.104, 0.261]	0.210 [0.137, 0.300]	0.041 [-0.106, 0.142]	0.82	4.6
0.182 [0.105, 0.249]	0.231 [0.154, 0.328]	0.049 [-0.060, 0.182]	0.82	4.6
