LC_R2_null;LC_R2_env;LC_Q;LC_pQ;LC_BF
0.173 [0.12, 0.237];0.341 [0.206, 0.467];0.168 [0.028, 0.314];0.99;99
0.188 [0.125, 0.269];0.364 [0.231, 0.454];0.175 [0.039, 0.289];0.99;99
0.186 [0.114, 0.244];0.353 [0.251, 0.496];0.167 [0.069, 0.309];0.99;99
0.195 [0.127, 0.273];0.374 [0.264, 0.475];0.18 [0.042, 0.319];0.99;99
0.216 [0.153, 0.289];0.386 [0.297, 0.51];0.17 [0.043, 0.306];0.99;99
0.182 [0.103, 0.269];0.378 [0.269, 0.512];0.196 [0.06, 0.355];0.99;99
0.202 [0.092, 0.29];0.385 [0.272, 0.51];0.183 [0.047, 0.403];0.97;32.3
0.185 [0.128, 0.279];0.385 [0.26, 0.517];0.2 [0.031, 0.33];0.99;99
0.16 [0.103, 0.274];0.341 [0.244, 0.455];0.182 [0.055, 0.328];0.99;99
0.192 [0.116, 0.246];0.384 [0.278, 0.522];0.192 [0.059, 0.331];1;Inf
