CS_R2_null;CS_R2_env;CS_Q;CS_pQ;CS_BF
0.023 [0.01, 0.035];0.212 [0.141, 0.292];0.189 [0.097, 0.253];1;Inf
0.029 [0.016, 0.043];0.259 [0.193, 0.333];0.23 [0.167, 0.308];1;Inf
0.032 [0.014, 0.049];0.264 [0.162, 0.374];0.232 [0.139, 0.345];1;Inf
0.035 [0.011, 0.056];0.276 [0.181, 0.382];0.241 [0.131, 0.33];1;Inf
0.047 [0.022, 0.066];0.298 [0.216, 0.378];0.251 [0.169, 0.341];1;Inf
0.026 [0.01, 0.042];0.259 [0.173, 0.361];0.233 [0.151, 0.342];1;Inf
0.034 [0.015, 0.068];0.261 [0.175, 0.354];0.227 [0.127, 0.311];1;Inf
0.03 [0.01, 0.05];0.234 [0.097, 0.306];0.203 [0.084, 0.291];1;Inf
0.023 [0.01, 0.043];0.214 [0.13, 0.287];0.191 [0.116, 0.268];1;Inf
0.034 [0.021, 0.05];0.258 [0.188, 0.349];0.224 [0.145, 0.303];1;Inf
