LC_LR2_beta_env;LC_LR2_R2_env;LC_LR2_Q;LC_LR2_pQ;LC_LR2_BF
0.003 [0.002, 0.004];0.471 [0.289, 0.657];0.305 [0.172, 0.496];1;99
0.003 [0.002, 0.004];0.499 [0.327, 0.663];0.33 [0.182, 0.447];1;Inf
0.003 [0.002, 0.004];0.478 [0.298, 0.635];0.295 [0.14, 0.421];1;Inf
0.003 [0.002, 0.004];0.476 [0.325, 0.642];0.293 [0.158, 0.46];1;Inf
0.003 [0.002, 0.004];0.485 [0.32, 0.626];0.253 [0.112, 0.396];1;32.3
0.003 [0.002, 0.004];0.468 [0.267, 0.635];0.304 [0.155, 0.432];1;Inf
0.003 [0.002, 0.004];0.49 [0.279, 0.624];0.31 [0.129, 0.451];1;Inf
0.003 [0.002, 0.004];0.498 [0.349, 0.654];0.315 [0.202, 0.46];1;99
0.003 [0.002, 0.004];0.444 [0.252, 0.647];0.291 [0.149, 0.475];1;99
0.003 [0.002, 0.004];0.465 [0.337, 0.603];0.297 [0.179, 0.42];1;Inf
