LC_beta_env;LC_R2_env;LC_Q;LC_pQ;LC_BF
11.824 [11.058, 12.68];0.422 [0.366, 0.453];0.166 [0.126, 0.201];1;Inf
12.14 [11.449, 12.89];0.445 [0.413, 0.474];0.195 [0.159, 0.219];1;Inf
11.976 [11.131, 13.4];0.43 [0.361, 0.469];0.176 [0.123, 0.209];1;Inf
12.008 [11.256, 12.739];0.439 [0.398, 0.47];0.173 [0.133, 0.214];1;Inf
11.541 [10.881, 12.101];0.439 [0.404, 0.46];0.181 [0.142, 0.208];1;Inf
12.238 [10.955, 13.644];0.419 [0.337, 0.476];0.171 [0.117, 0.213];1;Inf
11.615 [10.818, 12.661];0.437 [0.405, 0.467];0.185 [0.146, 0.217];1;Inf
12.384 [11.539, 14.069];0.456 [0.433, 0.47];0.208 [0.189, 0.224];1;Inf
11.913 [10.545, 12.947];0.442 [0.414, 0.466];0.202 [0.165, 0.227];1;Inf
11.732 [11.031, 12.336];0.436 [0.393, 0.459];0.182 [0.143, 0.207];1;Inf
