LC_R2_null;LC_R2_env;LC_Q;LC_pQ;LC_BF
0.172 [0.105, 0.251];0.343 [0.228, 0.493];0.172 [0.006, 0.323];0.99;89
0.186 [0.114, 0.272];0.373 [0.255, 0.502];0.187 [0.055, 0.351];1;449
0.193 [0.112, 0.277];0.358 [0.225, 0.484];0.164 [0.012, 0.333];0.98;39.9
0.195 [0.126, 0.286];0.386 [0.27, 0.508];0.19 [0.039, 0.336];0.99;149
0.22 [0.133, 0.299];0.377 [0.262, 0.484];0.157 [0.026, 0.284];0.99;89
0.18 [0.106, 0.261];0.373 [0.245, 0.497];0.193 [0.038, 0.338];1;299
0.196 [0.108, 0.278];0.391 [0.27, 0.513];0.195 [0.055, 0.356];0.99;149
0.19 [0.115, 0.276];0.375 [0.26, 0.502];0.185 [0.039, 0.327];1;299
0.158 [0.086, 0.234];0.341 [0.246, 0.469];0.183 [0.034, 0.313];1;449
0.186 [0.114, 0.256];0.387 [0.276, 0.526];0.201 [0.065, 0.349];1;299
