CS_R2_null	CS_R2_env	CS_Q	CS_pQ	CS_BF
0.025 [0.012, 0.040]	0.206 [0.140, 0.289]	0.181 [0.110, 0.270]	1.00	>99
0.031 [0.015, 0.046]	0.253 [0.184, 0.327]	0.221 [0.141, 0.286]	1.00	>99
0.030 [0.015, 0.050]	0.245 [0.151, 0.341]	0.215 [0.130, 0.320]	1.00	>99
0.034 [0.014, 0.052]	0.286 [0.213, 0.404]	0.253 [0.167, 0.366]	1.00	>99
0.045 [0.022, 0.061]	0.297 [0.196, 0.365]	0.252 [0.165, 0.345]	1.00	>99
0.027 [0.009, 0.045]	0.266 [0.178, 0.354]	0.239 [0.146, 0.328]	1.00	>99
0.034 [0.012, 0.056]	0.265 [0.176, 0.368]	0.231 [0.135, 0.337]	1.00	>99
0.033 [0.013, 0.052]	0.231 [0.131, 0.314]	0.199 [0.111, 0.293]	1.00	>99
0.024 [0.008, 0.043]	0.212 [0.143, 0.287]	0.189 [0.118, 0.262]	1.00	>99
0.031 [0.018, 0.051]	0.263 [0.177, 0.339]	0.232 [0.141, 0.317]	1.00	>99
