CS_LR1_beta_env	CS_LR1_R2_env	CS_LR1_Q	CS_LR1_pQ	CS_LR1_BF
0.893 [0.756, 1.060]	0.503 [0.374, 0.595]	0.312 [0.224, 0.423]	1.00	>99
0.894 [0.752, 1.020]	0.535 [0.412, 0.627]	0.331 [0.222, 0.422]	1.00	>99
0.943 [0.754, 1.129]	0.555 [0.444, 0.694]	0.342 [0.225, 0.499]	1.00	>99
0.814 [0.702, 0.967]	0.533 [0.432, 0.666]	0.308 [0.135, 0.415]	1.00	>99
0.812 [0.690, 0.913]	0.501 [0.408, 0.607]	0.272 [0.161, 0.369]	1.00	>99
1.040 [0.778, 1.201]	0.574 [0.452, 0.707]	0.381 [0.282, 0.505]	1.00	>99
0.662 [0.564, 0.755]	0.502 [0.390, 0.608]	0.237 [0.154, 0.330]	1.00	>99
0.785 [0.693, 0.932]	0.563 [0.405, 0.672]	0.292 [0.228, 0.398]	1.00	>99
0.784 [0.673, 0.921]	0.557 [0.437, 0.663]	0.326 [0.235, 0.409]	1.00	>99
0.932 [0.818, 1.079]	0.542 [0.439, 0.634]	0.350 [0.266, 0.447]	1.00	>99
