CS_LR2_beta_env	CS_LR2_R2_env	CS_LR2_Q	CS_LR2_pQ	CS_LR2_BF
0.354 [0.286, 0.429]	0.458 [0.332, 0.594]	0.325 [0.217, 0.463]	0.99	32.3
0.340 [0.256, 0.431]	0.475 [0.353, 0.613]	0.338 [0.195, 0.462]	1.00	>99
0.422 [0.305, 0.544]	0.587 [0.400, 0.747]	0.427 [0.243, 0.599]	1.00	>99
0.283 [0.232, 0.350]	0.480 [0.379, 0.650]	0.321 [0.125, 0.443]	1.00	>99
0.315 [0.253, 0.387]	0.442 [0.329, 0.557]	0.274 [0.156, 0.401]	1.00	32.3
0.484 [0.339, 0.591]	0.611 [0.440, 0.759]	0.475 [0.294, 0.608]	1.00	>99
0.123 [0.081, 0.171]	0.325 [0.237, 0.452]	0.104 [0.011, 0.226]	0.99	10.1
0.195 [0.154, 0.258]	0.418 [0.311, 0.581]	0.198 [0.106, 0.328]	1.00	>99
0.207 [0.155, 0.284]	0.437 [0.284, 0.538]	0.251 [0.161, 0.380]	1.00	24.0
0.341 [0.268, 0.428]	0.490 [0.382, 0.626]	0.353 [0.248, 0.472]	1.00	99.0
