LC_R2_null	LC_R2_env	LC_Q	LC_pQ	LC_BF
0.173 [0.112, 0.264]	0.342 [0.205, 0.480]	0.169 [0.032, 0.373]	0.98	55.2
0.186 [0.109, 0.269]	0.369 [0.255, 0.493]	0.184 [0.017, 0.311]	1.00	224.0
0.195 [0.112, 0.274]	0.362 [0.262, 0.513]	0.167 [0.023, 0.311]	0.99	89.0
0.195 [0.119, 0.283]	0.385 [0.271, 0.506]	0.190 [0.051, 0.326]	0.99	111.5
0.222 [0.140, 0.307]	0.378 [0.261, 0.490]	0.156 [0.018, 0.302]	0.98	44.0
0.179 [0.102, 0.259]	0.371 [0.249, 0.474]	0.192 [0.055, 0.326]	1.00	449.0
0.196 [0.113, 0.282]	0.389 [0.267, 0.510]	0.193 [0.031, 0.329]	0.99	89.0
0.189 [0.117, 0.270]	0.374 [0.261, 0.490]	0.185 [0.039, 0.320]	1.00	224.0
0.160 [0.091, 0.241]	0.342 [0.253, 0.462]	0.182 [0.036, 0.297]	1.00	449.0
0.186 [0.118, 0.256]	0.386 [0.267, 0.508]	0.200 [0.078, 0.357]	1.00	>99
