CS_LR2_beta_env;CS_LR2_R2_env;CS_LR2_Q;CS_LR2_pQ;CS_LR2_BF
0.349 [0.231, 0.429];0.493 [0.372, 0.632];0.355 [0.2, 0.467];1;19
0.345 [0.238, 0.41];0.531 [0.406, 0.659];0.371 [0.231, 0.488];1;99
0.378 [0.271, 0.473];0.576 [0.435, 0.695];0.407 [0.217, 0.579];0.99;99
0.414 [0.331, 0.502];0.552 [0.419, 0.704];0.405 [0.229, 0.602];0.99;Inf
0.13 [0.101, 0.195];0.345 [0.256, 0.48];0.097 [0.008, 0.213];0.99;10.1
0.393 [0.298, 0.49];0.501 [0.345, 0.625];0.376 [0.244, 0.474];1;Inf
0.242 [0.182, 0.315];0.447 [0.338, 0.591];0.273 [0.167, 0.419];1;Inf
0.127 [0.093, 0.175];0.338 [0.257, 0.435];0.113 [0.024, 0.241];1;24
0.316 [0.258, 0.375];0.503 [0.375, 0.641];0.37 [0.248, 0.485];1;99
0.455 [0.348, 0.574];0.593 [0.413, 0.757];0.448 [0.264, 0.592];0.99;Inf
