CGT_R2_null	CGT_R2_env	CGT_Q	CGT_pQ	CGT_BF
0.448 [0.350, 0.544]	0.455 [0.358, 0.559]	0.007 [-0.146, 0.134]	0.55	1.2
0.455 [0.345, 0.560]	0.460 [0.354, 0.579]	0.005 [-0.149, 0.160]	0.52	1.1
0.412 [0.283, 0.517]	0.424 [0.306, 0.552]	0.012 [-0.166, 0.163]	0.56	1.3
0.450 [0.362, 0.545]	0.449 [0.368, 0.550]	-0.001 [-0.138, 0.128]	0.48	0.9
0.447 [0.360, 0.556]	0.449 [0.357, 0.561]	0.002 [-0.146, 0.147]	0.51	1.1
0.417 [0.314, 0.510]	0.423 [0.325, 0.530]	0.006 [-0.142, 0.152]	0.52	1.1
0.467 [0.361, 0.549]	0.471 [0.381, 0.564]	0.004 [-0.125, 0.146]	0.52	1.1
0.434 [0.339, 0.530]	0.439 [0.341, 0.534]	0.005 [-0.131, 0.143]	0.53	1.1
0.434 [0.349, 0.529]	0.442 [0.354, 0.543]	0.008 [-0.125, 0.134]	0.55	1.2
0.440 [0.351, 0.535]	0.447 [0.361, 0.549]	0.007 [-0.118, 0.141]	0.53	1.1
