LC_R2_null;LC_R2_env;LC_Q;LC_pQ;LC_BF
0.428 [0.326, 0.549];0.24 [0.102, 0.375];-0.188 [-0.386, -0.012];0.04;0
0.479 [0.382, 0.608];0.229 [0.126, 0.345];-0.251 [-0.423, -0.066];0;0
0.444 [0.315, 0.596];0.203 [0.076, 0.342];-0.241 [-0.418, -0.045];0.01;0
0.47 [0.36, 0.567];0.198 [0.112, 0.295];-0.272 [-0.39, -0.118];0;0
0.474 [0.339, 0.58];0.212 [0.114, 0.356];-0.262 [-0.416, -0.081];0;0
0.444 [0.343, 0.54];0.218 [0.125, 0.329];-0.226 [-0.367, -0.025];0.01;0
0.48 [0.372, 0.578];0.178 [0.08, 0.294];-0.302 [-0.481, -0.188];0;0
0.453 [0.347, 0.571];0.19 [0.083, 0.301];-0.262 [-0.402, -0.097];0.01;0
0.462 [0.381, 0.543];0.196 [0.104, 0.281];-0.265 [-0.408, -0.142];0;0
0.452 [0.355, 0.548];0.198 [0.094, 0.289];-0.254 [-0.38, -0.141];0;0
