LC_beta_env	LC_R2_env	LC_Q	LC_pQ	LC_BF
7.367 [6.341, 8.241]	0.221 [0.175, 0.267]	-0.309 [-0.328, -0.285]	0.00	-
7.178 [6.061, 8.465]	0.212 [0.169, 0.283]	-0.306 [-0.335, -0.280]	0.00	-
9.631 [7.654, 12.494]	0.305 [0.258, 0.340]	-0.224 [-0.306, -0.135]	0.00	-
7.341 [6.772, 8.079]	0.223 [0.188, 0.259]	-0.303 [-0.325, -0.284]	0.00	-
7.736 [7.055, 8.525]	0.247 [0.215, 0.284]	-0.294 [-0.313, -0.270]	0.00	-
8.175 [6.288, 10.531]	0.248 [0.181, 0.320]	-0.282 [-0.328, -0.191]	0.00	-
7.186 [6.565, 8.202]	0.204 [0.145, 0.252]	-0.313 [-0.329, -0.294]	0.00	-
7.567 [6.364, 9.336]	0.235 [0.184, 0.300]	-0.298 [-0.333, -0.240]	0.00	-
6.819 [6.131, 7.486]	0.196 [0.150, 0.236]	-0.315 [-0.326, -0.298]	0.00	-
7.302 [6.442, 8.357]	0.209 [0.175, 0.264]	-0.315 [-0.333, -0.282]	0.00	-
