CS_R2_null	CS_R2_env	CS_Q	CS_pQ	CS_BF
0.756 [0.689, 0.820]	0.249 [0.164, 0.355]	-0.507 [-0.632, -0.402]	0.00	0.0
0.757 [0.681, 0.827]	0.244 [0.130, 0.371]	-0.513 [-0.651, -0.371]	0.00	0.0
0.676 [0.538, 0.796]	0.251 [0.136, 0.359]	-0.425 [-0.597, -0.248]	0.00	0.0
0.751 [0.687, 0.811]	0.233 [0.142, 0.330]	-0.517 [-0.622, -0.396]	0.00	0.0
0.733 [0.671, 0.792]	0.225 [0.126, 0.327]	-0.508 [-0.637, -0.405]	0.00	0.0
0.703 [0.596, 0.787]	0.260 [0.146, 0.379]	-0.443 [-0.582, -0.274]	0.00	0.0
0.731 [0.651, 0.801]	0.235 [0.148, 0.323]	-0.496 [-0.605, -0.371]	0.00	0.0
0.738 [0.668, 0.802]	0.220 [0.105, 0.319]	-0.518 [-0.648, -0.393]	0.00	0.0
0.752 [0.685, 0.815]	0.211 [0.135, 0.287]	-0.540 [-0.632, -0.429]	0.00	0.0
0.719 [0.645, 0.797]	0.248 [0.162, 0.348]	-0.471 [-0.592, -0.345]	0.00	0.0
