CGT_R2_null	CGT_R2_env	CGT_Q	CGT_pQ	CGT_BF
0.491 [0.384, 0.601]	0.464 [0.367, 0.555]	-0.027 [-0.187, 0.130]	0.39	0.6
0.491 [0.371, 0.593]	0.463 [0.349, 0.602]	-0.028 [-0.180, 0.100]	0.36	0.6
0.452 [0.322, 0.579]	0.434 [0.314, 0.557]	-0.017 [-0.194, 0.194]	0.43	0.8
0.485 [0.379, 0.615]	0.444 [0.334, 0.531]	-0.040 [-0.193, 0.112]	0.29	0.4
0.481 [0.371, 0.619]	0.454 [0.371, 0.549]	-0.028 [-0.178, 0.115]	0.40	0.7
0.458 [0.349, 0.588]	0.428 [0.327, 0.513]	-0.029 [-0.211, 0.093]	0.35	0.5
0.502 [0.404, 0.628]	0.467 [0.386, 0.558]	-0.035 [-0.167, 0.082]	0.34	0.5
0.484 [0.378, 0.591]	0.441 [0.336, 0.559]	-0.043 [-0.193, 0.099]	0.33	0.5
0.473 [0.366, 0.597]	0.447 [0.371, 0.530]	-0.026 [-0.155, 0.142]	0.40	0.7
0.475 [0.382, 0.580]	0.449 [0.357, 0.537]	-0.026 [-0.158, 0.102]	0.37	0.6
