CS_LR2_beta_env	CS_LR2_R2_env	CS_LR2_Q	CS_LR2_pQ	CS_LR2_BF
0.276 [0.172, 0.350]	0.176 [0.072, 0.273]	-0.619 [-0.740, -0.373]	0.00	-
0.219 [0.157, 0.283]	0.171 [0.090, 0.266]	-0.518 [-0.655, -0.325]	0.00	-
0.058 [0.041, 0.081]	0.061 [0.026, 0.104]	-0.510 [-0.626, -0.300]	0.00	-
0.226 [0.167, 0.275]	0.173 [0.074, 0.301]	-0.472 [-0.604, -0.191]	0.01	-
0.227 [0.179, 0.282]	0.170 [0.082, 0.259]	-0.538 [-0.685, -0.337]	0.01	-
0.230 [0.171, 0.307]	0.169 [0.082, 0.259]	-0.510 [-0.668, -0.231]	0.01	-
0.253 [0.149, 0.354]	0.169 [0.057, 0.296]	-0.613 [-0.766, -0.345]	0.00	-
0.119 [0.074, 0.189]	0.088 [0.035, 0.173]	-0.664 [-0.781, -0.464]	0.01	-
0.268 [0.172, 0.340]	0.179 [0.088, 0.285]	-0.622 [-0.748, -0.413]	0.00	-
0.228 [0.128, 0.284]	0.162 [0.069, 0.253]	-0.526 [-0.639, -0.378]	0.00	-
