LC_LR2_beta_env;LC_LR2_R2_env;LC_LR2_Q;LC_LR2_pQ;LC_LR2_BF
0.003 [0.002, 0.004];0.27 [0.148, 0.365];-0.204 [-0.374, -0.077];0;-
0.002 [0.002, 0.003];0.25 [0.129, 0.403];-0.239 [-0.401, -0.113];0;-
0.002 [0.002, 0.003];0.26 [0.133, 0.455];-0.183 [-0.345, -0.009];0.04;-
0.003 [0.002, 0.004];0.275 [0.166, 0.474];-0.213 [-0.347, -0.111];0;-
0.003 [0.002, 0.003];0.274 [0.161, 0.428];-0.203 [-0.313, -0.085];0;-
0.002 [0.002, 0.003];0.245 [0.106, 0.381];-0.191 [-0.344, -0.06];0.02;-
0.002 [0.001, 0.003];0.232 [0.135, 0.358];-0.262 [-0.379, -0.13];0;-
0.002 [0.001, 0.003];0.245 [0.058, 0.418];-0.233 [-0.356, -0.097];0;-
0.002 [0.001, 0.003];0.226 [0.133, 0.329];-0.227 [-0.332, -0.118];0;-
0.003 [0.002, 0.003];0.259 [0.157, 0.36];-0.202 [-0.349, -0.091];0.01;-
