CS_beta_env;CS_R2_env;CS_Q;CS_pQ;CS_BF
15.501 [13.865, 17.83];0.257 [0.207, 0.314];-0.397 [-0.452, -0.312];0;-
14.725 [12.509, 17.139];0.27 [0.214, 0.332];-0.371 [-0.431, -0.256];0;-
15.498 [12.04, 20.654];0.326 [0.271, 0.377];-0.25 [-0.367, -0.064];0;-
15 [13.764, 15.927];0.285 [0.242, 0.315];-0.341 [-0.393, -0.294];0;-
14.987 [13.528, 16.129];0.28 [0.244, 0.317];-0.364 [-0.419, -0.295];0;-
16.154 [13.12, 20.007];0.283 [0.219, 0.345];-0.308 [-0.405, -0.108];0;-
15.143 [13.309, 16.857];0.242 [0.165, 0.307];-0.41 [-0.453, -0.374];0;-
13.41 [10.906, 15.969];0.249 [0.173, 0.314];-0.387 [-0.457, -0.301];0;-
14.32 [11.843, 15.454];0.234 [0.168, 0.299];-0.429 [-0.456, -0.39];0;-
14.174 [12.582, 15.699];0.239 [0.179, 0.293];-0.39 [-0.438, -0.338];0;-
