LC_LR1_beta_env;LC_LR1_R2_env;LC_LR1_Q;LC_LR1_pQ;LC_LR1_BF
0.059 [0.045, 0.077];0.256 [0.159, 0.387];-0.313 [-0.402, -0.253];0;-
0.058 [0.043, 0.073];0.249 [0.147, 0.423];-0.325 [-0.409, -0.232];0;-
0.06 [0.043, 0.077];0.261 [0.159, 0.4];-0.271 [-0.385, -0.141];0;-
0.062 [0.05, 0.076];0.266 [0.144, 0.434];-0.318 [-0.402, -0.243];0;-
0.061 [0.044, 0.072];0.265 [0.157, 0.404];-0.317 [-0.387, -0.243];0;-
0.057 [0.043, 0.072];0.248 [0.15, 0.374];-0.305 [-0.421, -0.208];0;-
0.055 [0.041, 0.069];0.229 [0.147, 0.322];-0.342 [-0.417, -0.245];0;-
0.056 [0.04, 0.074];0.24 [0.124, 0.431];-0.328 [-0.411, -0.245];0;-
0.055 [0.045, 0.07];0.228 [0.154, 0.317];-0.322 [-0.394, -0.249];0;-
0.063 [0.047, 0.075];0.26 [0.164, 0.353];-0.305 [-0.38, -0.238];0;-
