LC_R2_null;LC_R2_env;LC_Q;LC_pQ;LC_BF
0.426 [0.307, 0.559];0.239 [0.127, 0.376];-0.188 [-0.368, -0.006];0.02;0
0.482 [0.345, 0.592];0.219 [0.102, 0.345];-0.263 [-0.438, -0.075];0;0
0.435 [0.297, 0.568];0.205 [0.08, 0.332];-0.23 [-0.425, -0.04];0.01;0
0.467 [0.366, 0.572];0.193 [0.093, 0.313];-0.273 [-0.436, -0.12];0;0
0.469 [0.355, 0.578];0.216 [0.099, 0.351];-0.252 [-0.409, -0.058];0.01;0
0.442 [0.348, 0.545];0.215 [0.109, 0.339];-0.227 [-0.37, -0.072];0.01;0
0.486 [0.382, 0.589];0.176 [0.088, 0.276];-0.311 [-0.451, -0.171];0;0
0.46 [0.36, 0.575];0.197 [0.107, 0.331];-0.263 [-0.414, -0.102];0;0
0.462 [0.355, 0.57];0.198 [0.104, 0.31];-0.264 [-0.409, -0.099];0;0
0.458 [0.353, 0.568];0.204 [0.095, 0.319];-0.254 [-0.407, -0.091];0;0
