CS_LR1_beta_env;CS_LR1_R2_env;CS_LR1_Q;CS_LR1_pQ;CS_LR1_BF
0.532 [0.391, 0.704];0.147 [0.086, 0.254];-0.52 [-0.648, -0.385];0;-
0.482 [0.351, 0.592];0.143 [0.071, 0.256];-0.472 [-0.587, -0.346];0;-
0.395 [0.283, 0.489];0.136 [0.063, 0.227];-0.383 [-0.509, -0.246];0;-
0.534 [0.396, 0.662];0.152 [0.07, 0.222];-0.467 [-0.547, -0.298];0;-
0.521 [0.386, 0.64];0.158 [0.08, 0.231];-0.473 [-0.563, -0.333];0;-
0.367 [0.28, 0.501];0.123 [0.053, 0.18];-0.473 [-0.577, -0.334];0;-
0.483 [0.337, 0.593];0.145 [0.068, 0.215];-0.487 [-0.609, -0.342];0;-
0.407 [0.281, 0.538];0.131 [0.073, 0.239];-0.488 [-0.601, -0.343];0;-
0.487 [0.369, 0.623];0.141 [0.089, 0.215];-0.504 [-0.592, -0.359];0;-
0.522 [0.394, 0.644];0.148 [0.086, 0.209];-0.462 [-0.566, -0.316];0;-
